Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,Amazon CloudFront,0,102.04,1224.48,USD,"Data transfer out to internet (1024 GB per month), Data transfer out to origin (250 GB per month), Number of requests (HTTPS) (10000000 per month)"
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,S3 Standard,0,21.07,252.84,USD,S3 Standard storage (500 GB per month)
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,S3 Intelligent - Tiering,0,55.37,664.44,USD,S3 INT storage (100 GB per month)
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (100 GB per month), DT Outbound: Amazon CloudFront (2 TB per month)"
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,Amazon Route 53,0,245.25,2943.00,USD,"Hosted Zones (3), Additional Records in Hosted Zones (7500), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),Initial_Cost_Estimate_Web_Servers,Amazon EC2,0,987.77,11853.24,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (2 TB per month), DT Outbound: Amazon CloudFront (4 TB per month), DT Intra-Region: (0 TB per month), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 4, Peak: 6, Duration of peak: 12 Hr 00 Min)), Advance EC2 instance (c5.xlarge), Pricing strategy (All Reserved 1 Year  None upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,Classic Load Balancer,0,189.8,2277.60,USD,"Number of Classic Load Balancers (4), Processed bytes per CLB (5 GB per hour)"
My Estimate,US East (N. Virginia),,VPN Connection,0,421,5052.00,USD,"Working days per month (22), Number of subnet associations (2)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,110.7,1328.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Initial_Cost_Estimate_Application_Servers,Amazon EC2,0,1124.7914,13497.50,USD,"Operating system (Linux), Storage amount (500 GB), DT Inbound: Internet (30 GB per month), DT Outbound: Internet (5 GB per month), DT Intra-Region: (500 GB per month), Workload (Consistent, Number of instances: 6), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (c6id.xlarge), Pricing strategy (All Reserved 1 Year  None upfront)"
My Estimate,US East (N. Virginia),Initial_Cost_Estimate_Database_Instances,Windows Server and SQL Server on Amazon EC2,0,2872.08,34464.96,USD,"EC2 Windows LI with SQL Server Standard LI (r5dn.xlarge x 4), EBS gp3 (4 volumes, 1000 GiB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."


Since the DB servers were the highest cost, I made them a bit smaller, but added the SSD option to increase drive read/write speed which will hopefully offset the reduction in memory and CPU.  If the developers decided they didn't need to use SQL, then other options could be explored including using RDS instead of an EC2 instance with SQL server.
